Category,Variable,Description,Code,Decode,Derived Variable,Original Variable(s),Original Dataset(s),Derivation Notes,
ID,SITE,Blinded Site ID,-,-,Yes,CNO,Multiple,Derived from CNO,
ID,PATNO,Participant ID ,-,-,No,PATNO,Multiple,,
ID,COHORT,Cohort at Enrollment,1,PD Participant,No,COHORT,STATUS,,
,,,2,Healthy Control,,,,,
,,,3,SWEDD,,,,,
,,,4,Prodromal ,,,,,
ID,subgroup,List of Subgroup(s) based on enrollment cohort/subgroup and Genetic Consensus data,-,-,Yes,"CONLRRK2, CONGBA, CONSNCA, CONPRKN, CONPINK1, CONPARK7, CONVPS35, ENRLLRRK2, ENRLGBA, ENRLSNCA, ENRLPRKN, ENRLPINK1, ENRLRBD, ENRLHPSM, ENRLNORM",STATUS,"Possible values are:  Healthy Control, SWEDD, Hyposmia, RBD, Sporadic PD, LRRK2, GBA, PINK1, PRKN, SNCA, PARK7, VPS35, Normosmic, LRRK2 Normosmic, or combinations of genetic variants and/or RBD (e.g. LRRK2 + GBA, GBA + RBD).

Consensus (CON) indicators for genetic variants are used when available.  If Consensus indicator is missing, use enrollment (ENRL) indicator.",
ID,analytic_subgroup,Analytic subgroups for Prodromals enrolled in Phase 2 (excluding NMCs),A1,Participants with PSG-confirmed RBD with hyposmia (revised UPSIT %ile  <=15),Yes,"COHORT, upsit_pctl, enroll_source, ENRLRBD, RBDPSG, RBDDIAG, HIQ_RBD, rem","SCREEN, STATUS, UPSIT, PROHIST, REMSLEEP, NON_PD_HIGH_INTEREST, REMOTE_HIGHINT","For Prodromal participants enrolled in Phase 2, excluding NMCs:
A1 -- enroll_source=""Clinical Site"" and upsit_pctl<=15 and ENRLRBD=""1"" and RBDPSG=""1"".
A2 -- enroll_source=""Clinical Site"" and upsit_pctl>15 and ENRLRBD=""1"" and RBDPSG=""1"".
B -- includes the following three groups (B1, B2, B3):
* B1 -- enroll_source=""Clinical Site"" and  ENRLHPSM=""1"" and ENRLRBD=""1"" and RBDPSG=""0"" and RBDDIAG=""1"".
* B2 -- enroll_source=""Remote"" and  ENRLHPSM=""1"" and ENRLRBD=""0"" and RBDPSG=""1"".
* B3 -- ENRLHPSM=""1"" and ENRLRBD=""0"" and RBDPSG=(0 or NULL) and HIQ_RBD=""1"".
C -- includes the following three groups (C0, C1, C2):
* C0 -- ENRLHPSM=""1"" and ENRLRBD=""0"" and RBDPSG=(0 or NULL) and RBDDIAG=(0 or NULL) and HIQ_RBD=(2 or NULL) and rem>=6.
* C1 -- enroll_source=""Remote"" and  ENRLHPSM=""1"" and ENRLRBD=""0"" and RBDPSG=(0 or NULL) and  RBDDIAG=(0 or NULL) and HIQ_RBD=0.
* C2 -- ENRLHPSM=""1"" and ENRLRBD=""0"" and RBDPSG=(0 or NULL) and  RBDDIAG=(0 or NULL) and HIQ_RBD=(2 or NULL) and rem<=5.",
,,,A2,Participants with PSG-confirmed RBD without hyposmia (revised UPSIT %ile >15),,,,,
,,,B,Participants enrolled in hyposmia subgroup with possible RBD (self-endorsed by either prodromal history form or high interest questionnaire OR enrolled in the RBD cohort without PSG confirmation),,,,,
,,,C,Participants enrolled in hyposmia subgroup without self-endorsed RBD,,,,,
ID,study_status,PPMI study status,-,-,Yes,COMPLT,CONCL,"Possible values are:  Active, Complete, Withdrawn",
ID,EVENT_ID,Clinical Visit Label,BL,Baseline (Year 0),No,EVENT_ID,Multiple,,
,,,PW,Premature Withdrawal visit,,,,,
,,,ST,Symptomatic Therapy visit,,,,,
,,,V04,Visit 4 (Year 1),,,,,
,,,V06,Visit 6 (Year 2),,,,,
,,,V08,Visit 8 (Year 3),,,,,
,,,V10,Visit 10 (Year 4),,,,,
,,,V12,Visit 12 (Year 5),,,,,
,,,V13,Visit 13 (Year 6),,,,,
,,,V14,Visit 14 (Year 7),,,,,
,,,V15,Visit 15 (Year 8),,,,,
,,,V16,Visit 16 (Year 9),,,,,
,,,V17,Visit 17 (Year 10),,,,,
,,,V18,Visit 18 (Year 11),,,,,
,,,V19,Visit 19 (Year 12),,,,,
,,,V20,Visit 20 (Year 13),,,,,
,,,V21,Visit 21 (Year 14),,,,,
,,,V22,Visit 22 (Year 15),,,,,
ID,YEAR,Visit Year,-,-,Yes,EVENT_ID,Multiple,Derived from EVENT_ID,
ID,visit_date,"Month and Year of Clinical Visit (Note: Collection dates of DATSCAN, lumbar puncture, or other imaging/lab data may be different.)",-,-,No,INFODT,Multiple,,
ID,enroll_phase,Enrollment phase,1,Enrolled prior to June 2020 (Phase 1),Yes,ENROLL_DATE,STATUS,,
,,,2,Enrolled in June 2020 or later (Phase 2),,,,,
ID,enroll_source,Indicates whether Prodromal participants were enrolled at a Clinical Site or through PPMI Remote. Note: only applies to Prodromals enrolled in Phase 2.,-,-,Yes,"TRACK, UPSIT_SOURCE","REMOTE_SCREEN, UPSIT","For Phase 2 Prodromal participants, if UPSIT_SOURCE from SC or BL visit is NOT ""Clinical Site"" and TRACK is NOT missing, enroll_source = ""Remote""; otherwise, enroll_source = ""Clinical Site"".",
ID,HIQ_RBD,Indicator for self-reported RBD diagnosis and/or dream enactment behavior (DEB) in Hyposmics based on responses to High Interest Questionnaires (HIQ) from PPMI Online and/or PPMI Remote. Note: only applies to Prodromal Hyposmics enrolled in Phase 2.,0,No self-reported RBD diagnosis nor DEB based on HIQ responses,Yes,"HINTNONPD_RBD_DIAGNOSED_OL, HINTNONPD_ACT_DREAMS_OL, HIQ1, HIQ2","NON_PD_HIGH_INTEREST, REMOTE_HIGHINT ","HINTNONPD_RBD_DIAGNOSED_OL, HINTNONPD_ACT_DREAMS_OL, HIQ1, HIQ2

For Phase 2 Hyposmics, HIQ_RBD = 0 if ALL non-missing variables = 0; HIQ_RBD = 1 if ANY variable = 1; HIQ_RBD = 2 if participant did not come through PPMI Remote.",
,,,1,Self-reported RBD diagnosis and/or DEB based on HIQ responses,,,,,
,,,2,Hyposmics enrolled at a Clinical Site (HIQ not done),,,,,
Demographics,AFICBERB,Indicator for African Berber descent,0,No,No,AFICBERB,SCREEN,,
,,,1,Yes,,,,,
,,,.,Unknown/Not reported,,,,,
Demographics,age,Age at Enrollment,-,-,Yes,"BIRTHDT, ENROLL_DATE","SCREEN, STATUS",ENROLL_DATE - BIRTHDT,
Demographics,age_at_visit,Age at Visit,-,-,Yes,"BIRTHDT, INFODT","SCREEN, Multiple",INFODT - BIRTHDT,
Demographics,ASHKJEW,Indicator for Ashkenazi Jewish descent,0,No,No,ASHKJEW,SCREEN,,
,,,1,Yes,,,,,
,,,.,Unknown/Not reported,,,,,
Demographics,BASQUE,Indicator for Basque descent,0,No,No,BASQUE,SCREEN,,
,,,1,Yes,,,,,
,,,.,Unknown/Not reported,,,,,
Demographics,EDUCYRS,Years of Education capped at 20,-,-,Yes,EDUCYRS,SOCIOECO,"If EDUCYRS >20, then a value of 20 is imputed",
Demographics,fampd,Family History of PD - 3 categories.  NOTE: First-degree family history of PD was an exclusion criterion for Healthy Controls so HCs should not be used for comparison purposes.,1,1st Degree Family w/PD,Yes,"BIOMOMPD, BIODADPD, FULSIBPD, HAFSIBPD, KIDSPD, MAGPARPD, PAGPARPD, MATAUPD, PATAUPD, DISFAMPD, MATCOUSPD, PATCOUSPD",FAMHXPD,"Participant has 1st-degree family history of PD if any one or more of the following variables = ‘1’: BIOMOMPD, BIODADPD, FULSIBPD, HAFSIBPD, KIDSPD",
,,,2,Non-1st Degree Family w/PD,,,,,
,,,3,No Family w/PD,,,,,
,,,.,Unknown,,,,,
Demographics,fampd_bin,Family History of PD - Binary,1,Any Family w/PD,Yes,As above,FAMHXPD,"Participant has any family history of PD if any one or more of the following variables = ‘1’:  BIOMOMPD, BIODADPD, FULSIBPD, HAFSIBPD, MAGPARPD, PAGPARPD, MATAUPD, PATAUPD, KIDSPD, DISFAMPD, MATCOUSPD, PATCOUSPD",
,,,2,No Family w/PD,,,,,
,,,.,Unknown,,,,,
Demographics,handed,Handedness,1,Right,No,HANDED,SCREEN,,
,,,2,Left,,,,,
,,,3,Mixed,,,,,
Demographics,HISPLAT,Indicator for Hispanic/Latino ethnicity,0,No,No,HISPLAT,SCREEN,,
,,,1,Yes,,,,,
,,,.,Unknown/Not reported,,,,,
Demographics,howlive,Gender Identity,1,Woman (or trans woman),No,HOWLIVE,SCREEN,,
,,,2,Man (or trans man),,,,,
,,,3,Non-binary,,,,,
,,,4,Another term,,,,,
,,,.,Unknown/Not reported,,,,,
